Generation,Hunting Strategy,Speed,Stealth,Stamina,Sense,Hunting Outcome,Prey Type
0.0,pursuit,95.0,33.0,63.0,49.0,1.0,Rabbit
0.0,pursuit,16.0,66.0,47.0,92.0,0.0,Rabbit
0.0,pursuit,75.0,39.0,28.0,26.0,0.0,Rabbit
0.0,pursuit,13.0,90.0,94.0,29.0,0.0,Rabbit
0.0,pursuit,15.0,93.0,57.0,30.0,0.0,Rabbit
0.0,pursuit,95.0,27.0,56.0,66.0,0.0,Rabbit
0.0,pursuit,87.0,47.0,62.0,85.0,0.0,Rabbit
0.0,pursuit,79.0,92.0,50.0,21.0,0.0,Rabbit
0.0,pursuit,49.0,76.0,12.0,83.0,0.0,Rabbit
0.0,pursuit,52.0,9.0,72.0,36.0,1.0,Rabbit
0.0,pursuit,29.0,15.0,63.0,49.0,1.0,Rabbit
0.0,pursuit,9.0,21.0,3.0,42.0,0.0,Rabbit
0.0,pursuit,46.0,48.0,46.0,91.0,0.0,Rabbit
0.0,pursuit,22.0,61.0,34.0,83.0,0.0,Rabbit
0.0,pursuit,6.0,97.0,51.0,84.0,0.0,Rabbit
0.0,pursuit,79.0,27.0,38.0,29.0,0.0,Rabbit
0.0,pursuit,37.0,40.0,80.0,49.0,1.0,Rabbit
0.0,pursuit,18.0,11.0,93.0,23.0,0.0,Rabbit
0.0,pursuit,67.0,82.0,48.0,87.0,1.0,Rabbit
0.0,pursuit,84.0,35.0,64.0,6.0,0.0,Rabbit
0.0,pursuit,81.0,39.0,29.0,5.0,0.0,Rabbit
0.0,pursuit,34.0,53.0,8.0,2.0,0.0,Rabbit
0.0,pursuit,83.0,87.0,73.0,98.0,0.0,Rabbit
0.0,pursuit,6.0,89.0,89.0,94.0,0.0,Rabbit
0.0,pursuit,57.0,80.0,78.0,81.0,0.0,Rabbit
0.0,pursuit,37.0,13.0,70.0,29.0,0.0,Rabbit
0.0,pursuit,39.0,56.0,42.0,49.0,0.0,Rabbit
0.0,pursuit,92.0,95.0,52.0,81.0,0.0,Rabbit
0.0,pursuit,32.0,54.0,6.0,83.0,0.0,Rabbit
0.0,pursuit,93.0,90.0,46.0,12.0,0.0,Rabbit
0.0,pursuit,92.0,97.0,6.0,59.0,0.0,Rabbit
0.0,pursuit,47.0,40.0,81.0,51.0,0.0,Rabbit
0.0,pursuit,35.0,14.0,100.0,87.0,1.0,Rabbit
0.0,pursuit,42.0,55.0,82.0,19.0,0.0,Rabbit
0.0,pursuit,27.0,16.0,93.0,77.0,0.0,Rabbit
0.0,pursuit,78.0,46.0,10.0,32.0,0.0,Rabbit
0.0,pursuit,93.0,41.0,21.0,97.0,0.0,Rabbit
0.0,pursuit,84.0,99.0,79.0,36.0,0.0,Rabbit
0.0,pursuit,59.0,19.0,78.0,40.0,1.0,Rabbit
0.0,pursuit,75.0,9.0,14.0,91.0,0.0,Rabbit
0.0,pursuit,76.0,93.0,59.0,33.0,0.0,Rabbit
0.0,pursuit,56.0,83.0,96.0,31.0,0.0,Rabbit
0.0,pursuit,46.0,30.0,50.0,19.0,0.0,Rabbit
0.0,pursuit,38.0,64.0,41.0,79.0,0.0,Rabbit
